Customer No.	Exposure at Default (in lakh Rs.)	 Recovery (%) 	Probability of Default
1818	13.28	 0.25 	0.0063
1819	20.65	 0.16 	0.0036
1820	8.69	 0.36 	0.0017
1821	21.55	 0.08 	0.0012
1822	21.96	 0.17 	0.0001
1823	13.23	 0.13 	0.005
1824	10.99	 0.16 	0.0053
1825	21.13	 0.25 	0.0069
1826	1.27	 0.18 	0.0001
1827	9.32	 0.23 	0.0028
1828	4.09	 0.01 	0.0055
1829	1.15	 0.30 	0.002
1830	7.66	 0.20 	0.0091
1831	5.12	 0.28 	0.0048
1832	7.95	 0.11 	0.0086
1833	12.49	 0.38 	0.0005
1834	10.68	 0.35 	0.0047
1835	15.47	 0.26 	0.0062
1836	13.85	 0.20 	0.0093
1837	5.84	 0.03 	0.0054
1838	1.91	 0.31 	0.0061
1839	5.39	 0.18 	0.0096
1840	19.63	 0.15 	0.0046
1841	5.5	 0.09 	0.0049
1842	2.42	 0.13 	0.0018
1843	5.65	 0.11 	0.0098
1844	7.92	 0.05 	0.0067
1845	18.33	 0.26 	0.0041
1846	16.96	 0.06 	0.0005
1847	2.84	 0.10 	0.0042
1848	12.67	 0.38 	0.0002
1849	24.54	 0.33 	0.0085
1850	5.38	 0.06 	0.002
1851	1.1	 0.25 	0.0092
1852	11.49	 0.02 	0.0013
1853	21.04	 0.38 	0.0027
1854	16.69	 0.22 	0.0016
1855	11.62	 0.18 	0.0067
1856	3.89	 0.06 	0.0026
1857	24.28	 0.29 	0.0055
1858	21.96	 0.18 	0.0003
1859	6.3	 0.18 	0.0042
1860	3.63	 0.13 	0.0091
1861	6.26	 0.38 	0.0027
1862	20.63	 0.14 	0.0023
1863	8.36	 0.01 	0.0096
1864	16.68	 0.22 	0.009
1865	20.65	 0.29 	0.0001
1866	12.73	 0.32 	0.0097
1867	0.35	 0.37 	0.0074
1868	1.23	 0.30 	0.0097
1869	23.13	 0.28 	0.0079
1870	8.61	 0.18 	0.0048
1871	24.71	 0.04 	0.0013
1872	7.05	 0.05 	0.0099
1873	2.49	 0.38 	0.0029
1874	14.61	 0.06 	0.0004
1875	0.2	 0.30 	0.0008
1876	19.41	 0.29 	0.0062
1877	18.89	 0.07 	0.0042
1878	6.24	 0.17 	0.0026
1879	6.12	 0.08 	0.0087
1880	21.05	 0.21 	0.0036
1881	20.56	 0.36 	0.0021
1882	15.6	 0.01 	0.0055
1883	19.1	 0.28 	0.0067
1884	21.96	 0.13 	0.0059
1885	17.12	 0.31 	0.0016
1886	6.4	 0.17 	0.0076
1887	15.99	 0.04 	0.004
1888	1.74	 0.18 	0.0095
1889	16.42	 0.25 	0.0083
1890	13.15	 0.05 	0.0013
1891	12.49	 0.20 	0.0091
1892	10.29	 0.10 	0.0009
1893	4.34	 0.04 	0.0059
1894	15.75	 0.01 	0.0025
1895	13.95	 0.17 	0.0031
1896	2.81	 0.13 	0.0025
1897	2.32	 0.24 	0.0084
1898	4.87	 0.10 	0.0093
1899	5.5	 0.12 	0.0049
1900	19.58	 0.18 	0.0093
1901	24.31	 0.13 	0.0059
1902	14.14	 0.25 	0.0029
1903	4.79	 0.38 	0.0074
1904	18.27	 0.38 	0.0092
1905	22.67	 0.02 	0.01
1906	10.88	 0.15 	0.0019
1907	15.05	 0.12 	0.0065
1908	10.22	 0.10 	0.0069
1909	1.1	 0.20 	0.0074
1910	7.71	 0.10 	0.0096
1911	21.13	 0.21 	0.0044
1912	8.87	 0.34 	0.0062
1913	8.14	 0.21 	0.0098
1914	21.09	 0.20 	0.0039
1915	21.26	 0.38 	0.0013
1916	22.02	 0.17 	0.008
1917	8.81	 0.24 	0.0011
1918	21.11	 0.37 	0.0069
1919	2.16	 0.23 	0.0046
1920	9.49	 0.03 	0.0039
1921	22.63	 0.30 	0.0091
1922	1.02	 0.05 	0.004
1923	9.29	 0.27 	0.0079
1924	6.49	 0.15 	0.0098
1925	10.36	 0.03 	0.0069
1926	3.49	 0.12 	0.0093
1927	19.34	 0.37 	0.0059
1928	9.74	 0.03 	0.0085
1929	6.94	 0.18 	0.0003
1930	18.65	 0.30 	0.006
1931	3.72	 0.13 	0.0051
1932	7.57	 0.39 	0.0065
1933	1.13	 0.00 	0.0071
1934	8.01	 0.09 	0.0012
1935	19.56	 0.26 	0.0057
1936	3.54	 0.37 	0.0045
1937	2.38	 0.23 	0.0011
1938	16.58	 0.33 	0.0066
1939	14.13	 0.31 	0.0021
1940	3.98	 0.30 	0.0001
1941	20.96	 0.09 	0.003
1942	24.33	 0.16 	0.0073
1943	12.46	 0.27 	0.009
1944	16.71	 0.08 	0.0089
1945	18.98	 0.03 	0.0012
1946	20.42	 0.08 	0.0046
1947	22.12	 0.40 	0.0003
1948	2.94	 0.13 	0.0039
1949	21.83	 0.02 	0.0097
1950	10.76	 0.21 	0.0072
1951	17.83	 0.17 	0.0097
1952	7.23	 0.03 	0.0051
1953	3.81	 0.12 	0.0019
1954	7.69	 0.20 	0.0079
1955	7.74	 0.31 	0.0043
1956	6.58	 0.29 	0.0019
1957	2.46	 0.13 	0.0091
1958	22.25	 0.00 	0.0027
1959	16.01	 0.36 	0.007
1960	21.44	 0.21 	0.0046
1961	5.57	 0.09 	0.0085
1962	4.87	 0.05 	0.0064
1963	12.4	 0.32 	0.0053
1964	19.38	 0.37 	0.0092
1965	18.3	 0.08 	0.0069
1966	22.82	 0.39 	0.0033
1967	2.55	 0.35 	0.0085
1968	6.03	 0.21 	0.0045
1969	12.21	 0.19 	0.0049
1970	10.21	 0.39 	0.004
1971	24.48	 0.38 	0.0062
1972	0.55	 0.28 	0.0082
1973	0.09	 0.35 	0.007
1974	19.2	 0.01 	0.001
1975	10.64	 0.11 	0.0006
1976	4.89	 0.07 	0.0044
1977	1.87	 0.18 	0.0076
1978	22.33	 0.16 	0.0045
1979	21.5	 0.32 	0.0069
1980	23.28	 0.13 	0.0074
1981	10.32	 0.19 	0.0085
1982	12.49	 0.33 	0.0021
1983	11.02	 0.22 	0.0069
1984	22.49	 0.32 	0.0073
1985	8.34	 0.04 	0.0089
1986	19.41	 0.31 	0.003
1987	15.75	 0.11 	0.0065
1988	6.34	 0.04 	0.0052
1989	23.24	 0.30 	0.0038
1990	5.9	 0.20 	0.0005
1991	2.45	 0.08 	0.0041
1992	8.43	 0.05 	0.0037
1993	22.16	 0.17 	0.0087
1994	22.89	 0.30 	0.0034
1995	13.91	 0.26 	0.0011
1996	7.02	 0.23 	0.0027
1997	11.7	 0.07 	0
1998	21.24	 0.01 	0.0097
1999	24.38	 0.33 	0.009
2000	15.39	 0.18 	0.0099
2001	1.94	 0.11 	0.0044
2002	7.93	 0.29 	0.0062
2003	12.97	 0.10 	0.0052
2004	8.25	 0.16 	0.0057
2005	8.64	 0.34 	0.01
2006	5.67	 0.03 	0.0005
2007	8.87	 0.18 	0.0027
2008	17.68	 0.34 	0.0048
2009	22.92	 0.10 	0.0074
2010	19.57	 0.21 	0.0023
2011	10.46	 0.29 	0.0076
2012	7.76	 0.23 	0.0089
2013	4.8	 0.11 	0.0056
2014	20.06	 0.24 	0.0029
2015	4.3	 0.04 	0.0007
2016	17.42	 0.19 	0.0091
2017	3.76	 0.18 	0.0018
2018	8.07	 0.29 	0.0012
2019	1.6	 0.28 	0.0047
2020	7.76	 0.15 	0.0008
2021	2.36	 0.15 	0.0093
2022	13.37	 0.04 	0.0027
2023	12.53	 0.04 	0.0005
2024	23.33	 0.07 	0.0026
2025	21.11	 0.15 	0.0013
2026	15.8	 0.09 	0.009
2027	20.75	 0.25 	0.0023
2028	14.7	 0.31 	0.0084
2029	4.2	 0.33 	0.003
2030	7.32	 0.10 	0.0032
2031	9.86	 0.18 	0.0006
2032	19.24	 0.31 	0.0043
2033	0.08	 0.36 	0.0024
2034	1.19	 0.29 	0.0032
2035	1.58	 0.05 	0.0027
2036	23.19	 0.04 	0.006
2037	11.3	 0.14 	0.0064
2038	8.98	 0.29 	0.0095
2039	22.21	 0.30 	0.0037
2040	21.95	 0.14 	0.0077
2041	14.28	 0.36 	0.0019
2042	16.4	 0.08 	0.0003
2043	15.22	 0.02 	0.0003
2044	5.64	 0.25 	0.0097
2045	24.02	 0.29 	0.0029
2046	7.21	 0.19 	0.0002
2047	9.86	 0.30 	0.0094
2048	23.33	 0.32 	0.01
2049	23.5	 0.03 	0.0037
2050	6.52	 0.06 	0.0037
2051	6.71	 0.26 	0.0085
2052	7.18	 0.16 	0.0003
2053	19.55	 0.03 	0.0084
2054	14.05	 0.07 	0.0004
2055	9.05	 0.04 	0.0023
2056	18.51	 0.30 	0.001
2057	1.78	 0.15 	0.0027
2058	13.82	 0.26 	0.0085
2059	19.81	 0.37 	0.0077
2060	24.57	 0.22 	0.0013
2061	11.16	 0.26 	0.0017
2062	17.82	 0.17 	0.0064
2063	5.77	 0.09 	0.0053
2064	20.33	 0.25 	0.0054
2065	12.44	 0.28 	0.0098
2066	21.01	 0.35 	0.0046
2067	23.81	 0.29 	0.006
2068	22	 0.30 	0.0033
2069	14.4	 0.16 	0.0021
2070	5.08	 0.18 	0.0074
2071	4.41	 0.06 	0.0055
2072	1.35	 0.23 	0.0017
2073	20.38	 0.13 	0.0002
2074	10.84	 0.17 	0.0011
2075	9.43	 0.34 	0.0018
2076	18.25	 0.12 	0.0076
2077	7.64	 0.01 	0.0084
2078	7.21	 0.33 	0.0046
2079	2.15	 0.19 	0.0006
2080	13.65	 0.04 	0.0031
2081	3.82	 0.04 	0.0086
2082	5.13	 0.01 	0.0071
2083	12.51	 0.28 	0.0028
2084	0.62	 0.39 	0.0074
2085	21.14	 0.26 	0.0043
2086	8.55	 0.14 	0.0038
2087	2.62	 0.25 	0.0025
2088	3.62	 0.21 	0.0023
2089	11.58	 0.09 	0.0002
2090	20.62	 0.31 	0.005
2091	10.33	 0.02 	0.0024
2092	16.78	 0.04 	0.0039
2093	5.25	 0.22 	0.0065
2094	7.95	 0.08 	0.0052
2095	19.25	 0.30 	0.0088
2096	12.21	 0.02 	0.0096
2097	18.77	 0.25 	0.0082
2098	8.41	 0.14 	0.0086
2099	11.04	 0.40 	0.0046
2100	24.88	 0.30 	0.0099
2101	17.41	 0.09 	0.0093
2102	23.04	 0.17 	0.0017
2103	16.13	 0.04 	0.0015
2104	19.78	 0.35 	0.0051
2105	16.4	 0.29 	0.0043
2106	9.74	 0.00 	0.0028
2107	3.32	 0.16 	0.0078
2108	12.56	 0.23 	0.0005
2109	3.87	 0.09 	0.0021
2110	5.42	 0.02 	0.0014
2111	13.94	 0.09 	0.0013
2112	9.64	 0.12 	0.0031
2113	1.88	 0.30 	0.0069
2114	1.4	 0.21 	0.0051
2115	5.95	 0.01 	0.0048
2116	13.08	 0.34 	0.0037
2117	9.55	 0.08 	0.008
2118	24.05	 0.06 	0.0084
2119	14.95	 0.04 	0.0035
2120	17.09	 0.21 	0.0032
2121	14.06	 0.29 	0.0012
2122	11.33	 0.37 	0.0012
2123	10.47	 0.06 	0.0098
2124	2.57	 0.04 	0.002
2125	21.53	 0.00 	0.0034
2126	0.43	 0.26 	0.0053
2127	18.36	 0.28 	0.0001
2128	21.11	 0.23 	0.0099
2129	1.34	 0.31 	0.0065
2130	10.02	 0.13 	0.0038
2131	15.47	 0.22 	0.0005
2132	15.6	 0.32 	0.0066
2133	8.99	 0.07 	0.0059
2134	2.15	 0.13 	0.0022
2135	12.78	 0.17 	0.0065
2136	24.67	 0.38 	0.0041
2137	20.58	 0.28 	0.0036
2138	18.03	 0.26 	0.0011
2139	12.34	 0.23 	0.0023
2140	9.49	 0.28 	0.0024
2141	22.26	 0.37 	0.002
2142	5.98	 0.23 	0.0005
2143	6.4	 0.29 	0.0098
2144	11.31	 0.15 	0.003
2145	3.3	 0.11 	0.0025
2146	3.87	 0.33 	0.0068
2147	18.45	 0.02 	0.001
2148	7.31	 0.33 	0.0056
2149	20.66	 0.05 	0.0001
2150	23.95	 0.10 	0.0085
2151	2.17	 0.23 	0.0007
2152	15.12	 0.38 	0.0027
2153	19.13	 0.16 	0.003
2154	9.26	 0.03 	0.0057
2155	16.09	 0.14 	0.0091
2156	12.94	 0.23 	0.0025
2157	10.75	 0.39 	0.006
2158	12.25	 0.36 	0.0087
2159	14.48	 0.19 	0.0029
2160	9.38	 0.24 	0.0094
2161	6.75	 0.24 	0.0069
2162	17.96	 0.12 	0.0045
2163	16.91	 0.00 	0.0021
2164	11.84	 0.23 	0.0013
2165	13.32	 0.40 	0.0046
2166	11.4	 0.20 	0.0063
2167	10.27	 0.22 	0.0011
2168	12.27	 0.31 	0.0055
2169	22.41	 0.20 	0.0057
2170	23.84	 0.19 	0.001
2171	4.21	 0.05 	0.0035
2172	23.69	 0.04 	0.0007
2173	19.25	 0.23 	0.0029
2174	0.87	 0.30 	0.0076
2175	13.4	 0.02 	0.007
2176	9.32	 0.17 	0.0051
2177	13.09	 0.25 	0.0063
2178	6.72	 0.02 	0.0037
2179	14.3	 0.15 	0.0077
2180	7.01	 0.16 	0.0008
2181	2.78	 0.27 	0.0099
2182	15.9	 0.02 	0.0028
2183	22.58	 0.18 	0.0002
2184	9.05	 0.25 	0.0019
2185	16.66	 0.08 	0.0093
2186	5.46	 0.06 	0.0061
2187	4.83	 0.22 	0.0044
2188	11.38	 0.13 	0.001
2189	14.96	 0.03 	0.0006
2190	22.35	 0.21 	0.0053
2191	9.79	 0.19 	0.0022
2192	23.61	 0.40 	0.0059
2193	19.97	 0.05 	0.0011
2194	0.44	 0.38 	0.002
2195	24.73	 0.28 	0.0011
2196	4.45	 0.16 	0
2197	13.48	 0.14 	0.0076
2198	21.73	 0.13 	0.0015
2199	10.94	 0.04 	0.0035
2200	4.04	 0.20 	0.0065
2201	19.08	 0.10 	0.0005
2202	12.84	 0.29 	0.0058
2203	14.42	 0.13 	0.002
2204	4.48	 0.33 	0.0096
2205	4.09	 0.27 	0
2206	9.04	 0.07 	0.01
2207	11.14	 0.36 	0.0025
2208	22.88	 0.16 	0.0028
2209	16.45	 0.32 	0.0091
2210	11.73	 0.38 	0.0064
2211	7.33	 0.01 	0.0037
2212	14.93	 0.33 	0.0008
2213	10.7	 0.01 	0.0066
2214	3.96	 0.33 	0.0063
2215	1.49	 0.38 	0.0026
2216	10.51	 0.30 	0.0073
2217	14.19	 0.04 	0.0001
2218	19.79	 0.27 	0.0064
2219	24.04	 0.24 	0.0003
2220	10.45	 0.38 	0.0072
2221	22.62	 0.02 	0.0004
2222	2.44	 0.17 	0.0012
2223	11.28	 0.18 	0.0012
2224	13.88	 0.10 	0.0096
2225	13.91	 0.38 	0.0005
2226	2.03	 0.30 	0.0001
2227	5.13	 0.29 	0.0011
2228	14.54	 0.08 	0.0016
2229	18.23	 0.21 	0.0002
2230	13.99	 0.13 	0.0032
2231	15.41	 0.06 	0.0056
2232	3.46	 0.09 	0.0002
2233	13.38	 0.29 	0.0073
2234	19.08	 0.33 	0.0099
2235	2.16	 0.00 	0.0064
2236	19.92	 0.23 	0.0079
2237	5.86	 0.09 	0.0064
2238	14.83	 0.06 	0.0098
2239	1.42	 0.24 	0.0081
2240	12.31	 0.19 	0.0078
2241	22.05	 0.26 	0.0034
2242	15.13	 0.07 	0.0061
2243	12.6	 0.01 	0.004
2244	11.58	 0.27 	0.0009
2245	16.28	 0.34 	0.0093
2246	8.16	 0.18 	0.0076
2247	18.4	 0.33 	0.004
2248	14.22	 0.05 	0.0013
2249	10.22	 0.32 	0.0094
2250	9.43	 0.39 	0.0064
2251	1.29	 0.00 	0.0042
2252	15.13	 0.15 	0.0039
2253	22.37	 0.28 	0.0092
2254	1.24	 0.15 	0.007
2255	10.64	 0.20 	0.0084
2256	2.66	 0.35 	0.005
2257	6.24	 0.13 	0.0012
2258	11.35	 0.08 	0.0034
2259	5.94	 0.08 	0.0047
2260	16.06	 0.19 	0.008
2261	8.34	 0.29 	0.0052
2262	2.82	 0.23 	0.0061
2263	4.14	 0.14 	0.0078
2264	13.81	 0.01 	0.0084
2265	17.38	 0.39 	0.0012
2266	17.6	 0.15 	0.003
2267	14.82	 0.17 	0.0038
2268	14.31	 0.26 	0.0081
2269	11.56	 0.30 	0.0084
2270	19.5	 0.34 	0.0047
2271	3.37	 0.05 	0.0091
2272	22.98	 0.22 	0.006
2273	10.49	 0.03 	0.0083
2274	18.31	 0.30 	0.0059
2275	4.78	 0.20 	0.0044
2276	22.47	 0.26 	0.0085
2277	24.7	 0.19 	0.007
2278	9.31	 0.21 	0.0037
2279	15.89	 0.01 	0.0028
2280	11.12	 0.33 	0.0056
2281	17.13	 0.03 	0.0005
2282	6.3	 0.11 	0.0041
2283	19.75	 0.26 	0.0063
2284	8.44	 0.38 	0.0042
2285	14.16	 0.07 	0.0082
2286	16.69	 0.13 	0.004
2287	3.74	 0.16 	0.0043
2288	3.76	 0.11 	0.0089
2289	11.45	 0.07 	0.0039
2290	21.45	 0.19 	0.0046
2291	10.98	 0.37 	0.0089
2292	19.23	 0.02 	0.0083
2293	9.68	 0.34 	0.0087
2294	15.81	 0.15 	0.0071
2295	3.14	 0.05 	0.0002
2296	24.12	 0.23 	0.0056
2297	8.8	 0.15 	0.005
2298	11.5	 0.25 	0.0045
2299	18.78	 0.17 	0.0001
2300	17.81	 0.18 	0.0081
2301	15.37	 0.38 	0.0045
2302	7.16	 0.29 	0.0018
2303	0.41	 0.35 	0.007
2304	12.11	 0.11 	0.0035
2305	24.9	 0.31 	0.0047
2306	0.75	 0.27 	0.0064
2307	1.28	 0.23 	0.0023
2308	14.57	 0.39 	0.005
2309	6.27	 0.39 	0.0073
2310	8.76	 0.26 	0.0089
2311	22.32	 0.38 	0.0025
2312	12.52	 0.32 	0.0048
2313	11.75	 0.18 	0.0061
2314	7.52	 0.08 	0.004
2315	11.81	 0.37 	0.0076
2316	1.76	 0.40 	0.0099
2317	21.43	 0.20 	0.0018
2318	24.49	 0.32 	0.0012
2319	0.95	 0.29 	0.0067
2320	17.48	 0.16 	0.0028
2321	24.07	 0.39 	0.0004
2322	8.73	 0.23 	0.0059
2323	8.08	 0.25 	0.0006
2324	3.95	 0.11 	0.0061
2325	0.03	 0.34 	0.002
2326	4.85	 0.17 	0.0036
2327	5.31	 0.24 	0.0018
2328	16.57	 0.07 	0.001
2329	10.01	 0.20 	0.0045
2330	9.77	 0.19 	0.004
2331	12.22	 0.30 	0.0018
2332	7.75	 0.34 	0.0049
2333	23.78	 0.22 	0.0082
2334	18.92	 0.34 	0.0029
2335	17.84	 0.31 	0.0088
2336	14.39	 0.34 	0.0077
2337	0.38	 0.22 	0.0036
2338	18.01	 0.33 	0.0012
2339	3.92	 0.22 	0.0015
2340	5.5	 0.38 	0.0006
2341	18.78	 0.30 	0.0001
2342	19.06	 0.15 	0.0045
2343	8.79	 0.15 	0.0011
2344	14.51	 0.08 	0.0097
2345	10.86	 0.29 	0.0055
2346	9.99	 0.07 	0.0041
2347	9.46	 0.35 	0.0046
2348	11.74	 0.16 	0.0015
2349	13.77	 0.19 	0.0004
2350	10.77	 0.26 	0.0007
2351	23.09	 0.16 	0
2352	23.62	 0.33 	0.0051
2353	16.11	 0.05 	0.0087
2354	4.19	 0.27 	0.0027
2355	3.35	 0.24 	0.0015
2356	2.61	 0.22 	0.0013
2357	20.69	 -   	0.0006
2358	5.79	 0.04 	0.006
2359	22.84	 0.18 	0.0007
2360	18.21	 0.19 	0.0082
2361	13.16	 0.38 	0.0043
2362	7.51	 0.36 	0.0079
2363	14.5	 0.04 	0.0095
2364	0.98	 0.37 	0.0081
2365	24.66	 0.04 	0.0014
2366	6.56	 0.17 	0.0009
2367	17.74	 0.38 	0.0065
2368	1.56	 0.32 	0.0006
2369	8.01	 0.38 	0.0061
2370	22.97	 0.05 	0.0013
2371	8.88	 0.14 	0.0078
2372	3.7	 0.38 	0.0046
2373	3.6	 0.13 	0.0015
2374	3.61	 0.01 	0.0056
2375	11.21	 0.19 	0.0047
2376	17.47	 0.03 	0.0045
2377	23.29	 0.21 	0.0059
2378	15.69	 0.01 	0.0086
2379	22.74	 0.39 	0.0007
2380	14.09	 0.00 	0.0027
2381	20.97	 0.38 	0.0052
2382	24.29	 0.05 	0.0042
2383	4.49	 0.16 	0.0062
2384	12.07	 0.39 	0.0027
2385	4.51	 0.13 	0.0016
2386	13.56	 0.15 	0.0009
2387	15.86	 0.19 	0.0048
2388	5.44	 0.28 	0.0036
2389	17.07	 0.39 	0.0014
2390	24.8	 0.00 	0.0071
2391	15.58	 0.27 	0.0051
2392	8.97	 0.09 	0.0075
2393	20.93	 0.38 	0.002
2394	15.3	 0.07 	0.0048
2395	9.21	 0.05 	0.0023
2396	14.17	 0.08 	0.0063
2397	2.95	 0.02 	0.0058
2398	0.64	 0.37 	0.0096
2399	1	 0.00 	0.0001
2400	17.13	 0.27 	0.0057
2401	6	 0.33 	0.009
2402	12.05	 0.04 	0.0054
2403	0.84	 0.08 	0.0072
2404	21.57	 0.22 	0.0029
2405	11.74	 0.29 	0.0049
2406	1.57	 0.16 	0.0082
2407	1.27	 0.28 	0.0031
2408	4.35	 0.03 	0.0001
2409	15.01	 0.16 	0.0051
2410	3.38	 0.38 	0.0029
2411	16.82	 0.19 	0.0057
2412	0.01	 0.06 	0.001
2413	17.35	 0.02 	0.0092
2414	16.42	 0.23 	0.0071
2415	24.69	 0.15 	0.0008
2416	4.29	 0.09 	0.0067
2417	24.44	 0.32 	0.0009
2418	7.32	 0.04 	0.0093
2419	4.58	 0.17 	0.0027
2420	18.31	 0.23 	0.0054
2421	17.31	 0.31 	0.0048
2422	6.39	 0.25 	0.0088
2423	11.88	 0.07 	0.0057
2424	8.06	 0.34 	0.0065
2425	13.87	 0.14 	0.0013
2426	12.82	 0.04 	0.0034
2427	8.84	 0.10 	0.0088
2428	0.61	 0.20 	0.0032
2429	21.67	 0.06 	0.0077
2430	7.46	 0.29 	0.0038
2431	3.78	 0.29 	0.0062
2432	10.22	 0.26 	0.0006
2433	11.62	 0.05 	0.0056
2434	15.1	 0.21 	0.0079
2435	18.94	 0.09 	0.0098
2436	9.56	 0.32 	0.0063
2437	7.5	 0.33 	0.0067
2438	4.02	 0.22 	0.0043
2439	23.69	 0.36 	0.0011
2440	5.47	 0.20 	0.0029
2441	10.41	 0.22 	0.0069
2442	2.58	 0.32 	0.0021
2443	16.55	 0.30 	0.0085
2444	11.21	 0.22 	0.0094
2445	9.42	 0.39 	0.007
2446	5.26	 0.23 	0.0044
2447	21.2	 0.02 	0.0002
2448	0.02	 0.07 	0.0042
2449	22.2	 0.09 	0.0008
2450	21.66	 0.25 	0.0092
2451	11.73	 0.14 	0.0061
2452	8.22	 0.23 	0.0098
2453	7.95	 0.40 	0.0074
2454	24.72	 0.19 	0.0022
2455	15.36	 0.10 	0.0096
2456	16.3	 0.22 	0.0044
2457	8.67	 0.21 	0.003
2458	4.16	 0.18 	0.0048
2459	19.95	 0.05 	0.004
2460	0.83	 0.08 	0.0036
2461	13.87	 0.11 	0.0088
2462	17.87	 0.06 	0.0047
2463	3.82	 0.39 	0.0083
2464	17.44	 0.36 	0.0052
2465	7.16	 0.36 	0.0049
2466	3.1	 0.07 	0.0071
2467	14.82	 0.29 	0.0007
2468	10.93	 0.26 	0.0005
2469	6.83	 0.28 	0.0083
2470	4.73	 0.21 	0.0052
2471	9.04	 0.08 	0.0084
2472	7.89	 0.24 	0.0067
2473	10.43	 0.22 	0.0042
2474	22.4	 0.18 	0.0016
2475	21.08	 0.38 	0.0003
2476	20.91	 0.26 	0.0094
2477	0.15	 0.23 	0.0021
2478	14.22	 0.13 	0.0009
2479	11.64	 0.04 	0.006
2480	3.08	 0.12 	0.0086
2481	16.38	 0.01 	0.0007
2482	8.02	 0.05 	0.0051
2483	8.3	 0.06 	0.0041
2484	0.18	 0.23 	0.0039
2485	13.07	 0.07 	0.0014
2486	24.36	 0.33 	0.0085
2487	22.82	 0.19 	0.0043
2488	19.72	 0.07 	0.0042
2489	13.36	 0.01 	0.0023
2490	21.29	 0.37 	0.0095
2491	14.96	 0.31 	0.0025
2492	11.53	 0.16 	0.0026
2493	20.54	 0.27 	0.0047
2494	4.05	 0.11 	0.0074
2495	10.08	 0.08 	0.0099
2496	7.59	 0.04 	0.0093
2497	22.41	 0.19 	0.0089
2498	9.59	 0.22 	0.006
2499	18.12	 0.19 	0.0085
2500	17.14	 0.24 	0.0008
2501	22.74	 0.09 	0.0068
2502	22.4	 0.26 	0.0047
2503	2.85	 0.12 	0.0048
2504	9.74	 0.04 	0.0032
2505	13.25	 0.06 	0.0099
2506	11	 0.33 	0.0036
2507	2.3	 0.01 	0.0036
2508	19.58	 0.20 	0.0064
2509	0.91	 0.36 	0.0036
2510	6.64	 0.36 	0.0055
2511	14.86	 0.36 	0.0021
2512	2.68	 0.30 	0.004
2513	4.11	 0.39 	0.008
2514	17.9	 0.01 	0.0093
2515	9.31	 0.09 	0.0092
2516	22.68	 0.32 	0.009
2517	21.43	 0.23 	0.0031
2518	4.13	 0.19 	0.0054
2519	10.89	 0.26 	0.0069
2520	15.53	 0.33 	0.0035
2521	4.93	 0.04 	0.0097
2522	8.04	 0.26 	0.0074
2523	1	 0.11 	0.0047
2524	3.72	 0.23 	0.0089
2525	2.18	 0.37 	0.0073
2526	1.41	 0.18 	0.0099
2527	10.64	 0.19 	0.0092
2528	2.9	 0.32 	0.0046
2529	17.67	 0.26 	0.0093
2530	20.37	 0.05 	0.0027
2531	4.18	 0.35 	0.0052
2532	15.65	 0.18 	0.008
2533	17.44	 0.33 	0.0072
2534	17.39	 0.24 	0.0048
2535	1.76	 0.36 	0.0007
2536	23.44	 0.37 	0.0032
2537	19.97	 0.10 	0.0073
2538	20.14	 0.24 	0.0044
2539	0.16	 0.40 	0.0095
2540	4.88	 0.19 	0.006
2541	7.35	 0.22 	0.0053
2542	14.13	 0.34 	0.0005
2543	5.61	 0.00 	0.0063
2544	12.52	 0.39 	0.0049
2545	21.83	 0.03 	0.0056
2546	21.39	 0.13 	0.0085
2547	24.23	 0.06 	0.0048
2548	22.12	 0.29 	0.0059
2549	19.89	 0.16 	0.0043
2550	20.39	 0.01 	0.0021
2551	16.22	 0.15 	0.0048
2552	20.76	 0.29 	0.0021
2553	20.39	 0.35 	0.0035
2554	20.34	 0.18 	0.0077
2555	1.78	 0.12 	0.0019
2556	4.94	 0.15 	0.0081
2557	7.71	 0.30 	0.0094
2558	11.06	 0.17 	0.0014
2559	9.04	 0.09 	0.0057
2560	17.04	 0.31 	0.001
2561	20.98	 0.32 	0.008
2562	1.58	 0.21 	0.0089
2563	5.07	 0.00 	0.0071
2564	4.81	 0.16 	0.0027
2565	18.39	 0.38 	0.0039
2566	18.3	 0.22 	0.0064
2567	24.69	 0.17 	0.0022
2568	17.82	 0.22 	0.0071
2569	22.35	 0.27 	0.0001
2570	2.15	 0.22 	0.0016
2571	11.91	 0.10 	0.0093
2572	23.87	 0.22 	0.0037
2573	0.75	 0.25 	0.0099
2574	8.11	 0.03 	0.0093
2575	23.45	 0.03 	0.0016
2576	24.54	 0.10 	0.0072
2577	5.77	 0.33 	0.009
2578	6.36	 0.26 	0.0041
2579	12.58	 0.00 	0.0085
2580	3.66	 0.03 	0.0059
2581	5.11	 0.05 	0.0093
2582	3.86	 0.03 	0.0036
2583	17.5	 0.29 	0.0085
2584	19.1	 0.05 	0.0055
2585	6.87	 0.10 	0.0083
2586	14.18	 0.29 	0.0087
2587	3.09	 0.10 	0.0013
2588	12.04	 0.40 	0.0073
2589	20.66	 0.29 	0.0092
2590	3.81	 0.01 	0.0024
2591	12.67	 0.35 	0
2592	20.53	 0.36 	0.0004
2593	6.64	 0.29 	0.0043
2594	1.46	 0.36 	0.0024
2595	13.38	 0.35 	0.0023
2596	1.25	 0.37 	0.003
2597	7.1	 0.31 	0.0003
2598	4.84	 0.05 	0.0045
